fuzzvm0,192.168.122.204,02:00:aa:0b:01:02,10.192.122.10/24
fuzzvm1,192.168.122.18,02:00:aa:0b:01:03,10.192.122.11/24
fuzzvm2,192.168.122.198,02:00:aa:0b:01:04,10.192.122.12/24
fuzzvm3,192.168.122.55,02:00:aa:0b:01:05,10.192.122.13/24
fuzzvm4,192.168.122.113,02:00:aa:0b:01:06,10.192.122.14/24
fuzzvm5,192.168.122.137,02:00:aa:0b:01:07,10.192.122.15/24
fuzzvm6,192.168.122.188,02:00:aa:0b:01:08,10.192.122.16/24
fuzzvm7,192.168.122.120,02:00:aa:0b:01:09,10.192.122.17/24
fuzzvm8,192.168.122.79,02:00:aa:0b:01:10,10.192.122.18/24
fuzzvm9,192.168.122.124,02:00:aa:0b:01:11,10.192.122.19/24
fuzzvm10,192.168.122.71,52:54:00:3d:15:c8,10.192.122.20/24
fuzzvm11,192.168.122.229,52:54:00:d8:d8:a5,10.192.122.21/24
fuzzvm12,192.168.122.247,52:54:00:0b:18:d9,10.192.122.22/24
fuzzvm13,192.168.122.119,52:54:00:5b:b3:0e,10.192.122.23/24
